Ide,Expl,Lesiones,Localizacion,Lesiones_TB,Patron_lesiones,Score_lesional,PIROPLASMA,THEILERIA,ANAPLASMA,VITAMINA_D,CALCIO,PIROPLASMA_Q,EDAD,SEXO,RAZA,IDTC,PIROPLASMA_Q_log,RAZA2,Patron_lesiones_3
514369544,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,13.09467653,0.941571359,1404.814116,11,F,Cruzado,11,7.248371855949038,Cruzado,-1
615144543,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,1.0,1.0,1.0,31.17345016,0.91319786,1714.486367,11,F,Cruzado,22,7.447451915312686,Cruzado,0
519945309,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,23.68750695,0.897501156,4898.393736,2,F,Alentejana,6,8.49686674909692,Alentejana,-1
418482594,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,31.85896366,0.916455924,2043.711602,5,F,Cruzado,5,7.623012032614942,Cruzado,-1
617748268,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,0.0,17.00027935,0.873352377,3444.289216,6,F,Cruzado,14,8.14476313231873,Cruzado,-1
765084273,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,1.0,1.0,1.0,18.14664647,0.921027978,506.1109506,14,F,Cruzado,15,6.2287298171251,Cruzado,0
19742663,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,0.0,21.47874359,0.887944927,3361.961923,3,F,Cruzado,26,8.12057738934492,Cruzado,0
19743153,VC30D,Lesão,Linfonodos retrofaríngeos,1,0,1,1.0,0.0,1.0,15.24832676,0.918069753,10864.47979,3,F,Cruzado,26,9.293346050942416,Cruzado,0
517745864,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,10.79579575,0.91430415,14921.03508,6,F,Cruzado,12,9.610594263919998,Cruzado,-1
817841420,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,0.0,1.0,23.94653833,0.894130752,4761.267472,5,F,Cruzado,8,8.468479193466086,Cruzado,-1
717717148,VC30D,Lesão,Linfonodos retrofaríngeos - Rejeição fígado,1,1,4,1.0,0.0,0.0,11.43016343,0.908386774,2115.775428,6,F,Cruzado,26,7.657649185205638,Cruzado,1
419698178,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,0.0,1.0,28.34120947,0.90703945,8.996343057,3,M,Angus,5,2.302219331811579,Otra,-1
819743210,VC30D,Lesão caseosa,Linfonodos retrofaríngeos - Rejeição fígado,1,1,4,1.0,1.0,1.0,26.68933134,0.936619665,3373.715357,3,F,Alentejana,15,8.124066261083259,Alentejana,1
219945235,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,0.0,0.0,29.47321576,0.921046211,1.603731984,2,F,Cruzado,6,0.9569457943180264,Cruzado,-1
819648218,VC30D,Lesão,Linfonodos retrofaríngeos (inicial),1,0,1,1.0,0.0,1.0,20.82634789,0.923179755,6002.931315,3,F,Cruzado,16,8.7001697528145,Cruzado,0
118811831,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,14.56340551,0.913226985,486.47516,5,F,Cruzado,13,6.189239335293557,Cruzado,-1
617197318,VC30D,Não apresentava lesões,Sem lesão,0,-1,0,1.0,1.0,1.0,53.26128868,0.969342562,195.1903587,4,F,Alentejana,12,5.279085405760746,Alentejana,-1
816725573,VC30D,Lesão,Rejeição fígado,1,0,4,1.0,1.0,1.0,15.41507268,0.935535474,774.227692,8,F,Cruzado,11,6.653156782332748,Cruzado,0
615442731,VC30D,Lesão,Pulmonar + linfodonos mediastinicos + brônquicos + rejeição de fígado,1,1,5,1.0,1.0,1.0,21.65466221,0.916518496,1195.83188,10,F,Cruzado,5,7.08743324456597,Cruzado,1
19052712,VC30D,Lesão caseosa,Linfonodos brônquicos ,1,0,2,1.0,1.0,1.0,10.70809263,0.919837353,1516.241383,3,M,Cruzado,9,7.324649085345742,Cruzado,0
